Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	57	42.857142857142854	1.031246328804327E-7	P07949, O94985, P49221, Q9BYT1, Q16625, P58335, Q2PZI1, Q96FE5, P25445, Q5VW36, P08922, Q8WYL5, P09619, O95206, Q9P2S2, Q12836, O94991, Q9Y5F7, Q96P31, Q9HCM2, P20648, Q9BY15, P46531, Q6P4Q7, Q96ND0, Q9HBW9, P23634, P00533, Q13332, Q13255, Q8TDW4, P0C091, Q9NPY3, Q9GZU3, Q9ULL4, Q96SE0, Q9Y5G2, Q96KR4, P50993, P54756, Q8NGR3, Q96N66, P08069, Q92630, E2RYF6, Q6DN12, Q9UPU3, P54762, P10586, Q86Z14, P35590, P35670, Q93033, P20020, Q6TCH7, Q9GZS9, Q75T13	123	2785	11559	1.9233787275036127	1.9902857098519355E-5	1.990305414592351E-5	1.949055561440178E-5
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	11	8.270676691729323	7.723454138348305E-5	P07942, Q9P218, P0C091, P05997, Q9NPY3, P49221, P62081, P08253, Q08431, P11047, P02751	123	211	11559	4.899202404346318	0.014796285217813399	0.007453133243506114	0.0072986641607391475
GOTERM_CC_DIRECT	GO:0005576~extracellular region	20	15.037593984962406	1.404528337650461E-4	P29622, P07942, Q5FYB1, P05997, P48052, P54762, O43852, P35916, P58335, Q12836, Q96QV1, P11047, Q08431, P11464, Q9P218, Q9BY15, P46531, P08253, Q13046, P02751	123	705	11559	2.6659747448538313	0.026745141775665005	0.009035798972217965	0.008848528527197905
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	21	15.789473684210526	4.900658286013336E-4	P54762, Q9ULL4, P07949, O95206, P35916, P10586, Q86Z14, Q96QV1, P54756, P35590, P16234, Q9HCM2, P20648, P35670, P08069, P20020, P23634, P29317, Q13332, Q13255, P25445	123	842	11559	2.343809744510747	0.09026860044973006	0.02364567623001435	0.023155610401413014
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	42	31.57894736842105	0.0026258678305146645	Q5S007, Q9NPY3, Q9ULL4, P07949, P35916, Q16625, P58335, Q9Y5G2, P50993, P54756, Q8NGR3, P08069, Q96FE5, P25445, Q9UPU3, P08922, P54762, Q8WYL5, P09619, O95206, P10586, Q9P2S2, Q86Z14, Q12836, Q01831, Q9Y5F7, P16234, Q9HCM2, Q96P31, P54709, P20648, Q93033, Q9BY15, P46531, Q9HBW9, P08253, P20020, P23634, P00533, P29317, Q13255, Q13332	123	2577	11559	1.531616457026037	0.39797664783068876	0.10135849825786605	0.09925780399345431
GOTERM_CC_DIRECT	GO:0043235~receptor complex	6	4.511278195488721	0.003589093707729591	P07949, P35916, P46531, P08069, P00533, O94991	123	97	11559	5.812924314810159	0.5003968230414706	0.1118450070607844	0.10952697582636399
GOTERM_CC_DIRECT	GO:0009986~cell surface	11	8.270676691729323	0.004056554660235703	P08922, Q9ULL4, Q9NPY3, O94985, P09619, P46531, P00533, Q96QV1, P29317, P25445, P11277	123	352	11559	2.9367378048780486	0.5436555244554219	0.1118450070607844	0.10952697582636399
GOTERM_CC_DIRECT	GO:0016323~basolateral plasma membrane	6	4.511278195488721	0.01368231306644431	P35670, Q68DX3, Q6P4Q7, P20020, P23634, P00533	123	134	11559	4.207863123407354	0.9299760718425762	0.3185040981505193	0.3119029769453272
GOTERM_CC_DIRECT	GO:0005901~caveola	4	3.007518796992481	0.014852522711682248	P54709, P23634, Q13023, P50993	123	49	11559	7.671478347436537	0.9443146228501388	0.3185040981505193	0.3119029769453272
GOTERM_CC_DIRECT	GO:0005606~laminin-1 complex	2	1.5037593984962405	0.020998597578670765	P07942, P11047	123	2	11559	93.97560975609757	0.9833589935577042	0.3684299393348598	0.36079408566988863
GOTERM_CC_DIRECT	GO:0043259~laminin-10 complex	2	1.5037593984962405	0.020998597578670765	P07942, P11047	123	2	11559	93.97560975609757	0.9833589935577042	0.3684299393348598	0.36079408566988863
GOTERM_CC_DIRECT	GO:0030315~T-tubule	3	2.2556390977443606	0.032656805891378565	P23634, Q13023, P50993	123	27	11559	10.441734417344174	0.9983516401468597	0.5252302947530052	0.5143446927892124
GOTERM_CC_DIRECT	GO:0030425~dendrite	7	5.263157894736842	0.038844240541867664	Q5S007, P54762, P07949, O95206, P32298, Q13255, P54756	123	236	11559	2.7874121537825545	0.9995222528264214	0.5388052282255077	0.527638280490264
GOTERM_CC_DIRECT	GO:0043231~intracellular membrane-bounded organelle	10	7.518796992481203	0.03908431707335289	O00429, P07949, P20648, Q9UNA4, Q9GZZ9, P08069, P20020, P23634, P56282, P50993	123	432	11559	2.1753613369467026	0.9995447401763381	0.5388052282255077	0.527638280490264
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	5	3.7593984962406015	0.04644842991890785	P08758, P58335, Q08431, P54756, P25445	123	128	11559	3.670922256097561	0.9998968598362002	0.5973203753509062	0.5849406784524419
GOTERM_CC_DIRECT	GO:0005615~extracellular space	14	10.526315789473683	0.04951878759385751	P02771, P29622, P07942, Q76I76, Q5S007, P0C091, P48052, P11047, Q08431, Q9P218, P20648, P08253, P00533, P02751	123	743	11559	1.770738272658635	0.9999446519134415	0.5973203753509062	0.5849406784524419
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	8	6.015037593984962	0.06419426048232968	P08758, Q5VW36, P09619, P40429, P62081, Q96KR4, P00533, P29317	123	335	11559	2.244193665817255	0.9999972531119025	0.6947577271201958	0.680358603242057
GOTERM_CC_DIRECT	GO:0016324~apical plasma membrane	6	4.511278195488721	0.06479605745162448	P09619, Q16625, P46531, P20020, P00533, P02751	123	204	11559	2.7639885222381637	0.9999975738284804	0.6947577271201958	0.680358603242057
GOTERM_CC_DIRECT	GO:0005890~sodium:potassium-exchanging ATPase complex	2	1.5037593984962405	0.07160117535678678	P54709, P50993	123	7	11559	26.850174216027877	0.9999994073827083	0.727317202308413	0.7122432706543528
GOTERM_CC_DIRECT	GO:0045121~membrane raft	5	3.7593984962406015	0.08756132227921268	P54762, P07949, P20020, P00533, P25445	123	159	11559	2.9552078539653324	0.9999999791401352	0.8207335829275683	0.8037235604834735
GOTERM_CC_DIRECT	GO:0005604~basement membrane	3	2.2556390977443606	0.09109084698258818	P07942, P0C091, P11047	123	48	11559	5.873475609756098	0.9999999901269339	0.8207335829275683	0.8037235604834735
GOTERM_CC_DIRECT	GO:0005903~brush border	3	2.2556390977443606	0.09761227458702149	O00429, Q9Y6U3, Q6PIF6	123	50	11559	5.638536585365854	0.9999999975402918	0.8207335829275683	0.8037235604834735
GOTERM_CC_DIRECT	GO:0043234~protein complex	7	5.263157894736842	0.0978076290535444	P16234, O00429, Q9Y6U3, P31150, Q9P2S2, P23634, P11277	123	300	11559	2.192764227642276	0.9999999976409562	0.8207335829275683	0.8037235604834735
